"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2021-01-01T02:00+0100","Zch_Schimmelstrasse","Hr","h1","%Hr",86.09,"provisorisch"
"2021-01-01T02:00+0100","Zch_Schimmelstrasse","p","h1","hPa",957.02,"provisorisch"
"2021-01-01T02:00+0100","Zch_Schimmelstrasse","RainDur","h1","min",0,"provisorisch"
"2021-01-01T02:00+0100","Zch_Schimmelstrasse","WD","h1","°",320.82,"provisorisch"
"2021-01-01T02:00+0100","Zch_Schimmelstrasse","WVv","h1","m/s",0.04,"provisorisch"
"2021-01-01T02:00+0100","Zch_Schimmelstrasse","WVs","h1","m/s",0.84,"provisorisch"
"2021-01-01T02:00+0100","Zch_Rosengartenstrasse","T","h1","°C",2.17,"provisorisch"
"2021-01-01T02:00+0100","Zch_Rosengartenstrasse","Hr","h1","%Hr",91.85,"provisorisch"
"2021-01-01T02:00+0100","Zch_Rosengartenstrasse","p","h1","hPa",954.69,"provisorisch"
"2021-01-01T02:00+0100","Zch_Rosengartenstrasse","RainDur","h1","min",0.52,"provisorisch"
"2021-01-01T02:00+0100","Zch_Rosengartenstrasse","WD","h1","°",108.49,"provisorisch"
"2021-01-01T02:00+0100","Zch_Rosengartenstrasse","WVv","h1","m/s",0.29,"provisorisch"
"2021-01-01T02:00+0100","Zch_Rosengartenstrasse","WVs","h1","m/s",0.39,"provisorisch"
"2021-01-01T03:00+0100","Zch_Stampfenbachstrasse","T","h1","°C",2.04,"provisorisch"
"2021-01-01T03:00+0100","Zch_Stampfenbachstrasse","Hr","h1","%Hr",91.72,"provisorisch"
"2021-01-01T03:00+0100","Zch_Stampfenbachstrasse","p","h1","hPa",954.61,"provisorisch"
"2021-01-01T03:00+0100","Zch_Stampfenbachstrasse","RainDur","h1","min",0,"provisorisch"
"2021-01-01T03:00+0100","Zch_Stampfenbachstrasse","StrGlo","h1","W/m2",0.02,"provisorisch"
"2021-01-01T03:00+0100","Zch_Stampfenbachstrasse","WD","h1","°",336.31,"provisorisch"
"2021-01-01T03:00+0100","Zch_Stampfenbachstrasse","WVv","h1","m/s",0.35,"provisorisch"
"2021-01-01T03:00+0100","Zch_Stampfenbachstrasse","WVs","h1","m/s",0.69,"provisorisch"
"2021-01-01T03:00+0100","Zch_Schimmelstrasse","T","h1","°C",2.67,"provisorisch"
"2021-01-01T03:00+0100","Zch_Schimmelstrasse","Hr","h1","%Hr",86.76,"provisorisch"
"2021-01-01T03:00+0100","Zch_Schimmelstrasse","p","h1","hPa",957.23,"provisorisch"
"2021-01-01T03:00+0100","Zch_Schimmelstrasse","RainDur","h1","min",0.03,"provisorisch"
"2021-01-01T03:00+0100","Zch_Schimmelstrasse","WD","h1","°",330.06,"provisorisch"
"2021-01-01T03:00+0100","Zch_Schimmelstrasse","WVv","h1","m/s",0.15,"provisorisch"
"2021-01-01T03:00+0100","Zch_Schimmelstrasse","WVs","h1","m/s",0.53,"provisorisch"
"2021-01-01T03:00+0100","Zch_Rosengartenstrasse","T","h1","°C",2.02,"provisorisch"
"2021-01-01T03:00+0100","Zch_Rosengartenstrasse","Hr","h1","%Hr",93.24,"provisorisch"
"2021-01-01T03:00+0100","Zch_Rosengartenstrasse","p","h1","hPa",954.9,"provisorisch"
"2021-01-01T03:00+0100","Zch_Rosengartenstrasse","RainDur","h1","min",6.32,"provisorisch"
"2021-01-01T03:00+0100","Zch_Rosengartenstrasse","WD","h1","°",96.6,"provisorisch"
"2021-01-01T03:00+0100","Zch_Rosengartenstrasse","WVv","h1","m/s",0.28,"provisorisch"
"2021-01-01T03:00+0100","Zch_Rosengartenstrasse","WVs","h1","m/s",0.31,"provisorisch"
"2021-01-01T04:00+0100","Zch_Stampfenbachstrasse","T","h1","°C",2.33,"provisorisch"
"2021-01-01T04:00+0100","Zch_Stampfenbachstrasse","Hr","h1","%Hr",90.79,"provisorisch"
"2021-01-01T04:00+0100","Zch_Stampfenbachstrasse","p","h1","hPa",954.56,"provisorisch"
"2021-01-01T04:00+0100","Zch_Stampfenbachstrasse","RainDur","h1","min",0,"provisorisch"
"2021-01-01T04:00+0100","Zch_Stampfenbachstrasse","StrGlo","h1","W/m2",0.02,"provisorisch"
"2021-01-01T04:00+0100","Zch_Stampfenbachstrasse","WD","h1","°",307.78,"provisorisch"
"2021-01-01T04:00+0100","Zch_Stampfenbachstrasse","WVv","h1","m/s",0.15,"provisorisch"
"2021-01-01T04:00+0100","Zch_Stampfenbachstrasse","WVs","h1","m/s",0.65,"provisorisch"
"2021-01-01T04:00+0100","Zch_Schimmelstrasse","T","h1","°C",2.99,"provisorisch"
"2021-01-01T04:00+0100","Zch_Schimmelstrasse","Hr","h1","%Hr",84.86,"provisorisch"
"2021-01-01T04:00+0100","Zch_Schimmelstrasse","p","h1","hPa",957.22,"provisorisch"
"2021-01-01T04:00+0100","Zch_Schimmelstrasse","RainDur","h1","min",0.43,"provisorisch"
"2021-01-01T04:00+0100","Zch_Schimmelstrasse","WD","h1","°",153.46,"provisorisch"
"2021-01-01T04:00+0100","Zch_Schimmelstrasse","WVv","h1","m/s",0.2,"provisorisch"
"2021-01-01T04:00+0100","Zch_Schimmelstrasse","WVs","h1","m/s",0.43,"provisorisch"
"2021-01-01T04:00+0100","Zch_Rosengartenstrasse","T","h1","°C",2.27,"provisorisch"
"2021-01-01T04:00+0100","Zch_Rosengartenstrasse","Hr","h1","%Hr",92.38,"provisorisch"
"2021-01-01T04:00+0100","Zch_Rosengartenstrasse","p","h1","hPa",954.9,"provisorisch"
"2021-01-01T04:00+0100","Zch_Rosengartenstrasse","RainDur","h1","min",4.22,"provisorisch"
"2021-01-01T04:00+0100","Zch_Rosengartenstrasse","WD","h1","°",96.94,"provisorisch"
"2021-01-01T04:00+0100","Zch_Rosengartenstrasse","WVv","h1","m/s",0.2,"provisorisch"
"2021-01-01T04:00+0100","Zch_Rosengartenstrasse","WVs","h1","m/s",0.28,"provisorisch"
"2021-01-01T05:00+0100","Zch_Stampfenbachstrasse","T","h1","°C",2.34,"provisorisch"
"2021-01-01T05:00+0100","Zch_Stampfenbachstrasse","Hr","h1","%Hr",91.79,"provisorisch"
"2021-01-01T05:00+0100","Zch_Stampfenbachstrasse","p","h1","hPa",954.8,"provisorisch"
"2021-01-01T05:00+0100","Zch_Stampfenbachstrasse","RainDur","h1","min",48.22,"provisorisch"
"2021-01-01T05:00+0100","Zch_Stampfenbachstrasse","StrGlo","h1","W/m2",0.02,"provisorisch"
"2021-01-01T05:00+0100","Zch_Stampfenbachstrasse","WD","h1","°",292.83,"provisorisch"
"2021-01-01T05:00+0100","Zch_Stampfenbachstrasse","WVv","h1","m/s",0.45,"provisorisch"
"2021-01-01T05:00+0100","Zch_Stampfenbachstrasse","WVs","h1","m/s",0.81,"provisorisch"
"2021-01-01T05:00+0100","Zch_Schimmelstrasse","T","h1","°C",2.94,"provisorisch"
"2021-01-01T05:00+0100","Zch_Schimmelstrasse","Hr","h1","%Hr",85.69,"provisorisch"
"2021-01-01T05:00+0100","Zch_Schimmelstrasse","p","h1","hPa",957.42,"provisorisch"
"2021-01-01T05:00+0100","Zch_Schimmelstrasse","RainDur","h1","min",50.72,"provisorisch"
"2021-01-01T05:00+0100","Zch_Schimmelstrasse","WD","h1","°",333.39,"provisorisch"
"2021-01-01T05:00+0100","Zch_Schimmelstrasse","WVv","h1","m/s",0.25,"provisorisch"
"2021-01-01T05:00+0100","Zch_Schimmelstrasse","WVs","h1","m/s",0.64,"provisorisch"
"2021-01-01T05:00+0100","Zch_Rosengartenstrasse","T","h1","°C",2.27,"provisorisch"
"2021-01-01T05:00+0100","Zch_Rosengartenstrasse","Hr","h1","%Hr",93.54,"provisorisch"
"2021-01-01T05:00+0100","Zch_Rosengartenstrasse","p","h1","hPa",955.12,"provisorisch"
"2021-01-01T05:00+0100","Zch_Rosengartenstrasse","RainDur","h1","min",52.38,"provisorisch"
"2021-01-01T05:00+0100","Zch_Rosengartenstrasse","WD","h1","°",203.76,"provisorisch"
"2021-01-01T05:00+0100","Zch_Rosengartenstrasse","WVv","h1","m/s",0.09,"provisorisch"
"2021-01-01T05:00+0100","Zch_Rosengartenstrasse","WVs","h1","m/s",0.29,"provisorisch"
"2021-01-01T06:00+0100","Zch_Stampfenbachstrasse","T","h1","°C",2.05,"provisorisch"
"2021-01-01T06:00+0100","Zch_Stampfenbachstrasse","Hr","h1","%Hr",92.38,"provisorisch"
"2021-01-01T06:00+0100","Zch_Stampfenbachstrasse","p","h1","hPa",955,"provisorisch"
"2021-01-01T06:00+0100","Zch_Stampfenbachstrasse","RainDur","h1","min",39.45,"provisorisch"
"2021-01-01T06:00+0100","Zch_Stampfenbachstrasse","StrGlo","h1","W/m2",0.02,"provisorisch"
"2021-01-01T06:00+0100","Zch_Stampfenbachstrasse","WD","h1","°",330.04,"provisorisch"
"2021-01-01T06:00+0100","Zch_Stampfenbachstrasse","WVv","h1","m/s",0.25,"provisorisch"
"2021-01-01T06:00+0100","Zch_Stampfenbachstrasse","WVs","h1","m/s",0.66,"provisorisch"
"2021-01-01T06:00+0100","Zch_Schimmelstrasse","T","h1","°C",2.66,"provisorisch"
"2021-01-01T06:00+0100","Zch_Schimmelstrasse","Hr","h1","%Hr",87.19,"provisorisch"
"2021-01-01T06:00+0100","Zch_Schimmelstrasse","p","h1","hPa",957.65,"provisorisch"
"2021-01-01T06:00+0100","Zch_Schimmelstrasse","RainDur","h1","min",8.78,"provisorisch"
"2021-01-01T06:00+0100","Zch_Schimmelstrasse","WD","h1","°",324.96,"provisorisch"
"2021-01-01T06:00+0100","Zch_Schimmelstrasse","WVv","h1","m/s",0.39,"provisorisch"
"2021-01-01T06:00+0100","Zch_Schimmelstrasse","WVs","h1","m/s",0.64,"provisorisch"
"2021-01-01T06:00+0100","Zch_Rosengartenstrasse","T","h1","°C",2.07,"provisorisch"
"2021-01-01T06:00+0100","Zch_Rosengartenstrasse","Hr","h1","%Hr",93.66,"provisorisch"
"2021-01-01T06:00+0100","Zch_Rosengartenstrasse","p","h1","hPa",955.28,"provisorisch"
"2021-01-01T06:00+0100","Zch_Rosengartenstrasse","RainDur","h1","min",15.05,"provisorisch"
"2021-01-01T06:00+0100","Zch_Rosengartenstrasse","WD","h1","°",112.37,"provisorisch"
"2021-01-01T06:00+0100","Zch_Rosengartenstrasse","WVv","h1","m/s",0.21,"provisorisch"
"2021-01-01T06:00+0100","Zch_Rosengartenstrasse","WVs","h1","m/s",0.34,"provisorisch"
"2021-01-01T07:00+0100","Zch_Stampfenbachstrasse","T","h1","°C",1.91,"provisorisch"
"2021-01-01T07:00+0100","Zch_Stampfenbachstrasse","Hr","h1","%Hr",93.48,"provisorisch"
"2021-01-01T07:00+0100","Zch_Stampfenbachstrasse","p","h1","hPa",955.6,"provisorisch"
"2021-01-01T07:00+0100","Zch_Stampfenbachstrasse","RainDur","h1","min",46.57,"provisorisch"
"2021-01-01T07:00+0100","Zch_Stampfenbachstrasse","StrGlo","h1","W/m2",0.02,"provisorisch"
