"zeitpunkt","bruttolastgang","status"
"2021-01-02T07:30",61126.379846,"E"
"2021-01-02T07:45",61744.430836,"E"
"2021-01-02T08:00",62595.523763,"E"
"2021-01-02T08:15",63726.416906,"E"
"2021-01-02T08:30",63957.568315,"E"
"2021-01-02T08:45",64596.033867,"E"
"2021-01-02T09:00",65756.204252,"E"
"2021-01-02T09:15",66823.197105,"E"
"2021-01-02T09:30",67967.912101,"E"
"2021-01-02T09:45",69222.000052,"E"
"2021-01-02T10:00",70560.973122,"E"
"2021-01-02T10:15",72315.822298,"E"
"2021-01-02T10:30",73387.316406,"E"
"2021-01-02T10:45",73800.501514,"E"
"2021-01-02T11:00",74138.286072,"E"
"2021-01-02T11:15",75140.923690,"E"
"2021-01-02T11:30",75780.714967,"E"
"2021-01-02T11:45",76415.655479,"E"
"2021-01-02T12:00",77160.382113,"E"
"2021-01-02T12:15",77890.563300,"E"
"2021-01-02T12:30",77956.427897,"E"
"2021-01-02T12:45",78239.136604,"E"
"2021-01-02T13:00",78360.215210,"E"
"2021-01-02T13:15",78483.944822,"E"
"2021-01-02T13:30",78580.952164,"E"
"2021-01-02T13:45",78163.746724,"E"
"2021-01-02T14:00",78023.453750,"E"
"2021-01-02T14:15",77165.378778,"E"
"2021-01-02T14:30",77179.507069,"E"
"2021-01-02T14:45",77124.743644,"E"
"2021-01-02T15:00",77056.645318,"E"
"2021-01-02T15:15",76989.810088,"E"
"2021-01-02T15:30",77084.649974,"E"
"2021-01-02T15:45",77125.937799,"E"
"2021-01-02T16:00",77171.404668,"E"
"2021-01-02T16:15",77607.317847,"E"
"2021-01-02T16:30",78422.053469,"E"
"2021-01-02T16:45",79170.281172,"E"
"2021-01-02T17:00",80347.371174,"E"
"2021-01-02T17:15",80973.429143,"E"
"2021-01-02T17:30",81945.175327,"E"
"2021-01-02T17:45",83070.593610,"E"
"2021-01-02T18:00",83889.348350,"E"
"2021-01-02T18:15",83882.583689,"E"
"2021-01-02T18:30",83695.244160,"E"
"2021-01-02T18:45",83636.701678,"E"
"2021-01-02T19:00",83141.582605,"E"
"2021-01-02T19:15",81746.274503,"E"
"2021-01-02T19:30",80443.683427,"E"
"2021-01-02T19:45",79576.736943,"E"
"2021-01-02T20:00",78224.852862,"E"
"2021-01-02T20:15",76707.329858,"E"
"2021-01-02T20:30",75769.662226,"E"
"2021-01-02T20:45",74410.959432,"E"
"2021-01-02T21:00",73543.257970,"E"
"2021-01-02T21:15",72477.942049,"E"
"2021-01-02T21:30",71377.323637,"E"
"2021-01-02T21:45",70234.063292,"E"
"2021-01-02T22:00",69363.968876,"E"
"2021-01-02T22:15",68623.775376,"E"
"2021-01-02T22:30",67845.177739,"E"
"2021-01-02T22:45",66483.428270,"E"
"2021-01-02T23:00",65373.308961,"E"
"2021-01-02T23:15",64047.158804,"E"
"2021-01-02T23:30",63234.155782,"E"
"2021-01-02T23:45",62278.944341,"E"
"2021-01-03T00:00",61360.680038,"E"
"2021-01-03T00:15",64933.939148,"E"
"2021-01-03T00:30",64293.096227,"E"
"2021-01-03T00:45",62968.170770,"E"
"2021-01-03T01:00",60841.402030,"E"
"2021-01-03T01:15",58897.105166,"E"
"2021-01-03T01:30",57409.631495,"E"
"2021-01-03T01:45",56729.476447,"E"
"2021-01-03T02:00",55805.883704,"E"
"2021-01-03T02:15",58293.371615,"E"
"2021-01-03T02:30",57562.386702,"E"
"2021-01-03T02:45",56476.500932,"E"
"2021-01-03T03:00",55459.437836,"E"
"2021-01-03T03:15",54822.668514,"E"
"2021-01-03T03:30",54181.912457,"E"
"2021-01-03T03:45",53822.178545,"E"
"2021-01-03T04:00",53472.868037,"E"
"2021-01-03T04:15",53305.240077,"E"
"2021-01-03T04:30",53015.489461,"E"
"2021-01-03T04:45",52717.600319,"E"
"2021-01-03T05:00",52978.610541,"E"
"2021-01-03T05:15",53722.877096,"E"
"2021-01-03T05:30",54223.202207,"E"
"2021-01-03T05:45",54897.986823,"E"
"2021-01-03T06:00",55140.474229,"E"
"2021-01-03T06:15",55650.299643,"E"
"2021-01-03T06:30",56240.064774,"E"
"2021-01-03T06:45",56610.652428,"E"
"2021-01-03T07:00",56942.896922,"E"
"2021-01-03T07:15",57782.648292,"E"
"2021-01-03T07:30",58228.898751,"E"
"2021-01-03T07:45",58964.217609,"E"
"2021-01-03T08:00",59689.091362,"E"
"2021-01-03T08:15",60543.503207,"E"
"2021-01-03T08:30",60788.733845,"E"
"2021-01-03T08:45",61425.717334,"E"
"2021-01-03T09:00",62401.478350,"E"
"2021-01-03T09:15",63573.476359,"E"
"2021-01-03T09:30",64663.846359,"E"
"2021-01-03T09:45",65736.736016,"E"
"2021-01-03T10:00",67067.834538,"E"
"2021-01-03T10:15",68436.659942,"E"
"2021-01-03T10:30",69417.185958,"E"
"2021-01-03T10:45",70315.821310,"E"
"2021-01-03T11:00",71515.940358,"E"
"2021-01-03T11:15",72259.158676,"E"
"2021-01-03T11:30",72874.452210,"E"
"2021-01-03T11:45",73922.608719,"E"
"2021-01-03T12:00",74959.178806,"E"
"2021-01-03T12:15",75902.225362,"E"
"2021-01-03T12:30",76009.162076,"E"
"2021-01-03T12:45",76112.399198,"E"
"2021-01-03T13:00",76084.739236,"E"
"2021-01-03T13:15",75975.186394,"E"
"2021-01-03T13:30",75623.299403,"E"
"2021-01-03T13:45",75112.788288,"E"
"2021-01-03T14:00",74721.113641,"E"
"2021-01-03T14:15",74407.616076,"E"
"2021-01-03T14:30",73854.115410,"E"
"2021-01-03T14:45",73825.884622,"E"
"2021-01-03T15:00",73507.678130,"E"
"2021-01-03T15:15",73370.759808,"E"
"2021-01-03T15:30",73774.872789,"E"
"2021-01-03T15:45",73726.347807,"E"
"2021-01-03T16:00",73856.583817,"E"
"2021-01-03T16:15",74253.394717,"E"
"2021-01-03T16:30",74969.669952,"E"
"2021-01-03T16:45",76191.445063,"E"
"2021-01-03T17:00",78344.573381,"E"
"2021-01-03T17:15",79763.518105,"E"
"2021-01-03T17:30",80914.964856,"E"
"2021-01-03T17:45",82124.399241,"E"
"2021-01-03T18:00",83528.229720,"E"
"2021-01-03T18:15",84279.248153,"E"
"2021-01-03T18:30",84850.336410,"E"
"2021-01-03T18:45",84158.954710,"E"
"2021-01-03T19:00",83885.915118,"E"
"2021-01-03T19:15",82636.809731,"E"
"2021-01-03T19:30",81738.114221,"E"
"2021-01-03T19:45",80617.472768,"E"
"2021-01-03T20:00",79270.171257,"E"
"2021-01-03T20:15",78131.125674,"E"
"2021-01-03T20:30",77362.902601,"E"
"2021-01-03T20:45",76227.872686,"E"
"2021-01-03T21:00",75387.787699,"E"
"2021-01-03T21:15",74041.134768,"E"
"2021-01-03T21:30",73092.388936,"E"
"2021-01-03T21:45",72049.273218,"E"
"2021-01-03T22:00",70943.641647,"E"
"2021-01-03T22:15",70058.743778,"E"
"2021-01-03T22:30",68451.536481,"E"
"2021-01-03T22:45",66990.029618,"E"
"2021-01-03T23:00",65632.392310,"E"
"2021-01-03T23:15",64591.446794,"E"
"2021-01-03T23:30",63494.155363,"E"
"2021-01-03T23:45",62568.468481,"E"
"2021-01-04T00:00",61617.263682,"E"
"2021-01-04T00:15",60977.650404,"E"
"2021-01-04T00:30",60189.656521,"E"
"2021-01-04T00:45",59022.711015,"E"
"2021-01-04T01:00",57576.049192,"E"
"2021-01-04T01:15",56451.557209,"E"
"2021-01-04T01:30",55745.967900,"E"
"2021-01-04T01:45",55079.031880,"E"
"2021-01-04T02:00",54674.715355,"E"
"2021-01-04T02:15",54726.523085,"E"
"2021-01-04T02:30",54152.066154,"E"
